Critical,8958.4600000000,41,Regular Air,21.2100000000,2
Critical,4201.0800000000,21,Regular Air,11.5400000000,2
Critical,4201.4700000000,19,Delivery Truck,52.2000000000,1
Critical,4242.7600000000,21,Regular Air,24.4900000000,1
Critical,4257.2760000000,41,Regular Air,2.5000000000,1
Critical,4282.7250000000,45,Regular Air,2.5000000000,1
Critical,4300.6260000000,26,Regular Air,8.0800000000,1
Critical,4326.2700000000,44,Regular Air,7.1800000000,1
Critical,4353.0200000000,20,Delivery Truck,28.1600000000,1
Critical,4357.1170000000,44,Regular Air,5.9200000000,1
Critical,4373.8535000000,42,Express Air,7.6900000000,1
Critical,4411.5000000000,37,Delivery Truck,70.2000000000,1
Critical,4462.2300000000,44,Delivery Truck,26.2200000000,1
Critical,4530.9600000000,44,Delivery Truck,41.6400000000,1
Critical,4601.0200000000,46,Delivery Truck,35.8400000000,1
Critical,4605.3600000000,18,Delivery Truck,43.3200000000,1
Critical,4621.1000000000,17,Delivery Truck,57.0000000000,1
Critical,4671.1495000000,28,Regular Air,4.2000000000,1
Critical,4679.1000000000,26,Delivery Truck,29.2100000000,1
Critical,4713.2500000000,31,Regular Air,69.0000000000,1
Critical,4725.0905000000,47,Regular Air,2.5000000000,1
Critical,4805.3600000000,13,Regular Air,19.9900000000,1
Critical,4805.9200000000,34,Delivery Truck,36.0900000000,1
Critical,4814.1200000000,46,Regular Air,21.2600000000,1
Critical,4834.8000000000,32,Regular Air,4.9900000000,1
Critical,4842.2100000000,40,Delivery Truck,70.2000000000,1
Critical,4846.6800000000,42,Regular Air,13.9900000000,1
Critical,4887.1400000000,12,Delivery Truck,110.2000000000,1
Critical,4896.9300000000,37,Express Air,12.6500000000,1
Critical,4906.8500000000,32,Regular Air,19.9900000000,1
Critical,4913.7000000000,33,Delivery Truck,17.8500000000,1
Critical,4956.7840000000,15,Delivery Truck,75.2300000000,1
Critical,5041.4600000000,43,Delivery Truck,70.2000000000,1
Critical,5072.3400000000,36,Regular Air,19.9900000000,1
Critical,5133.9235000000,34,Regular Air,4.9900000000,1
Critical,5158.0900000000,10,Delivery Truck,28.1400000000,1
Critical,5159.3725000000,29,Express Air,8.0800000000,1
Critical,5186.3100000000,23,Delivery Truck,28.1600000000,1
Critical,5196.1900000000,39,Regular Air,13.9900000000,1
Critical,5202.8960000000,22,Delivery Truck,54.1200000000,1
Critical,5208.7800000000,34,Regular Air,7.0700000000,1
Critical,5264.4800000000,40,Delivery Truck,30.0000000000,1
Critical,5294.4800000000,47,Regular Air,5.8100000000,1
Critical,5297.4700000000,19,Delivery Truck,50.0000000000,1
Critical,5307.5000000000,27,Delivery Truck,23.7600000000,1
Critical,5332.4200000000,49,Delivery Truck,30.0000000000,1
Critical,5350.6100000000,34,Delivery Truck,60.4900000000,1
Critical,5403.7500000000,16,Delivery Truck,58.9200000000,1
Critical,5405.4400000000,18,Delivery Truck,64.7300000000,1
Critical,5407.3100000000,24,Delivery Truck,28.1600000000,1
Critical,5410.9500000000,36,Regular Air,19.9900000000,1
Critical,5445.9920000000,31,Delivery Truck,69.6400000000,1
Critical,5459.3200000000,18,Regular Air,24.4900000000,1
Critical,5483.9600000000,44,Delivery Truck,58.6400000000,1
Critical,5526.1600000000,38,Regular Air,24.4900000000,1
Critical,5544.9900000000,43,Delivery Truck,130.0000000000,1
Critical,5587.2000000000,36,Express Air,19.9900000000,1
Critical,5620.2000000000,48,Delivery Truck,30.0000000000,1
Critical,5642.1800000000,19,Express Air,19.9900000000,1
Critical,5678.5525000000,42,Regular Air,8.9900000000,1
Critical,5679.5900000000,38,Express Air,69.0000000000,1
Critical,5735.7900000000,44,Regular Air,24.4900000000,1
Critical,5744.2400000000,12,Delivery Truck,28.1400000000,1
Critical,5750.9400000000,47,Delivery Truck,56.1400000000,1
Critical,5811.7200000000,25,Regular Air,15.0100000000,1
Critical,5811.9700000000,45,Delivery Truck,51.9400000000,1
Critical,5824.0100000000,41,Delivery Truck,30.0000000000,1
Critical,5845.8200000000,32,Delivery Truck,15.5900000000,1
